CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2012-2,13,2015-2,116,124,15449.990000000023,4351.140000000001
2012-2,14,2015-3,88,94,16506.730000000014,3399.6
2012-2,15,2015-4,67,68,5870.519999999994,1332.9800000000002
2012-2,16,2016-1,57,61,9296.199999999995,2950.6899999999996
2012-2,17,2016-2,72,76,13418.48,2604.5499999999997
2012-2,18,2016-3,55,62,7857.519999999995,1635.3700000000001
2012-2,19,2016-4,68,69,11086.369999999997,2331.7400000000002
2012-2,20,2017-1,52,57,5745.899999999994,1120.85
2012-2,21,2017-2,60,63,7164.929999999993,1751.9399999999996
2012-2,22,2017-3,4,4,539.88,84.56
2012-3,1,2012-3,2996,4259,540255.9700000208,117528.49000000025
2012-3,2,2012-4,427,460,55277.96999999983,13954.310000000014
2012-3,3,2013-1,208,223,51947.00999999986,9994.549999999996
2012-3,4,2013-2,177,195,23640.87000000005,5917.900000000001
2012-3,5,2013-3,189,204,25073.770000000066,5261.629999999998
2012-3,6,2013-4,128,137,18589.820000000032,3952.2499999999986
2012-3,7,2014-1,93,103,13348.720000000008,3166.8
2012-3,8,2014-2,105,110,15508.010000000017,3629.9600000000005
2012-3,9,2014-3,119,134,20958.250000000036,5190.829999999997
2012-3,10,2014-4,105,108,16674.870000000014,4219.540000000001
2012-3,11,2015-1,86,94,14872.410000000018,3401.3800000000006
2012-3,12,2015-2,99,118,18300.850000000035,4079.17
2012-3,13,2015-3,91,103,16324.090000000015,3538.4
2012-3,14,2015-4,80,93,13613.470000000003,3546.5299999999993
2012-3,15,2016-1,66,72,9147.359999999995,2085.0200000000004
2012-3,16,2016-2,87,97,18286.530000000013,4548.099999999999
2012-3,17,2016-3,70,76,15513.510000000004,3189.7100000000014
2012-3,18,2016-4,70,77,11860.629999999992,2576.5400000000004
2012-3,19,2017-1,57,65,19478.740000000013,3875.8
2012-3,20,2017-2,45,53,7993.929999999995,1871.0499999999993
2012-3,21,2017-3,3,3,244.82999999999998,46.0
2012-4,1,2012-4,2401,3417,516834.30000001885,110655.7799999999
2012-4,2,2013-1,348,382,51473.25,12945.109999999995
2012-4,3,2013-2,201,215,19632.020000000062,5521.289999999997
2012-4,4,2013-3,166,181,19212.710000000025,4188.290000000001
2012-4,5,2013-4,152,166,23018.380000000016,4669.73
2012-4,6,2014-1,88,98,14304.97000000002,2890.6099999999988
2012-4,7,2014-2,135,152,40650.299999999996,9729.690000000004
2012-4,8,2014-3,137,156,30333.050000000036,8134.95
2012-4,9,2014-4,90,96,11119.73,3095.7400000000007
2012-4,10,2015-1,80,86,12315.290000000014,3059.3599999999997
2012-4,11,2015-2,66,69,7590.329999999996,1773.5800000000004
2012-4,12,2015-3,77,88,9128.829999999996,2245.7999999999997
2012-4,13,2015-4,69,77,12749.990000000003,2857.87
2012-4,14,2016-1,50,53,5386.949999999995,1081.6500000000003
2012-4,15,2016-2,75,79,10983.060000000005,2244.6100000000006
2012-4,16,2016-3,68,70,9363.759999999993,1928.91
2012-4,17,2016-4,54,56,8790.239999999998,2541.210000000001
2012-4,18,2017-1,39,42,6499.78,1243.03
2012-4,19,2017-2,56,66,9138.079999999998,1964.02
2012-4,20,2017-3,1,1,69.95,16.95
2013-1,1,2013-1,2077,2908,378749.6000000132,84826.88999999985
2013-1,2,2013-2,317,341,80610.45999999941,14670.64999999999
2013-1,3,2013-3,159,178,21409.280000000042,5024.28
2013-1,4,2013-4,148,158,18773.860000000033,4281.829999999998
2013-1,5,2014-1,128,156,30017.17000000007,10369.779999999999
2013-1,6,2014-2,105,127,25891.190000000042,7835.510000000001
2013-1,7,2014-3,106,132,23027.670000000013,6905.219999999999
2013-1,8,2014-4,93,101,10027.890000000001,2881.27
2013-1,9,2015-1,99,108,15521.900000000012,5410.820000000001
2013-1,10,2015-2,86,98,15230.890000000009,4353.560000000003
2013-1,11,2015-3,74,81,10750.220000000003,3169.0
2013-1,12,2015-4,56,63,5649.429999999994,1228.1599999999996
2013-1,13,2016-1,62,69,17905.880000000012,4336.019999999999
